local_id,local_name,station_id,station_name,line_name,created_at
TL124,청량리,124,청량리,1호선,2025-12-19 15:27:09.482635
TL125,제기동,125,제기동,1호선,2025-12-19 15:27:09.4912
TL126A,신설동1~9,126,신설동,1호선,2025-12-19 15:27:09.491989
TL127A,동묘앞1~9,127,동묘앞,1호선,2025-12-19 15:27:09.492686
TL128A,동대문1~25,128,동대문,1호선,2025-12-19 15:27:09.493345
TL129A,종로5가1~19,129,종로5가,1호선,2025-12-19 15:27:09.49433
TL129B,종로5가20~32,129,종로5가,1호선,2025-12-19 15:27:09.49509
TL130A,종로3가1~25,130,종로3가,1호선,2025-12-19 15:27:09.495804
TL130B,종로3가26~34,130,종로3가,1호선,2025-12-19 15:27:09.496505
TL131A,종각1~25,131,종각,1호선,2025-12-19 15:27:09.497151
TL131B,종각26~50,131,종각,1호선,2025-12-19 15:27:09.497557
TL132A,시청1~28,132,시청,1호선,2025-12-19 15:27:09.497887
TL132B,시청29~44,132,시청,1호선,2025-12-19 15:27:09.498285
TL133A,서울역1~22,133,서울역,1호선,2025-12-19 15:27:09.498679
TL133B,서울역23~44,133,서울역,1호선,2025-12-19 15:27:09.49925
TL133C,서울역45~64,133,서울역,1호선,2025-12-19 15:27:09.499732
TL132C,시청45~69,201,시청,2호선,2025-12-19 15:27:09.500192
TL202A,을지로입구1~25,202,을지로입구,2호선,2025-12-19 15:27:09.500615
TL202B,을지로입구26~50,202,을지로입구,2호선,2025-12-19 15:27:09.501027
TL203A,을지로3가1~26,203,을지로3가,2호선,2025-12-19 15:27:09.50141
TL204A,을지로4가1~13,204,을지로4가,2호선,2025-12-19 15:27:09.501808
TL205A,동대문역사문화공원1~36,205,동대문역사문화공원,2호선,2025-12-19 15:27:09.502176
TL205B,동대문역사문화공원37~60,205,동대문역사문화공원,2호선,2025-12-19 15:27:09.50252
TL206A,신당1~13,206,신당,2호선,2025-12-19 15:27:09.502862
TL207,상왕십리,207,상왕십리,2호선,2025-12-19 15:27:09.503201
TL208A,왕십리1~17,208,왕십리,2호선,2025-12-19 15:27:09.503539
TL209,한양대,209,한양대,2호선,2025-12-19 15:27:09.503878
TL210A,뚝섬,210,뚝섬,2호선,2025-12-19 15:27:09.504216
TL211A,성수1~28,211,성수,2호선,2025-12-19 15:27:09.504557
TL211B,성수29~45,211,성수,2호선,2025-12-19 15:27:09.504896
TL2111,용답,211-1,용답,2호선,2025-12-19 15:27:09.505235
TL2112,신답,211-2,신답,2호선,2025-12-19 15:27:09.505575
TL2113,용두,211-3,용두,2호선,2025-12-19 15:27:09.505913
TL126B,신설동10~18,211-4,신설동,2호선,2025-12-19 15:27:09.506257
TL212A,건대입구1~22,212,건대입구,2호선,2025-12-19 15:27:09.506597
TL212B,건대입구23~44,212,건대입구,2호선,2025-12-19 15:27:09.506938
TL212C,건대입구45~66,212,건대입구,2호선,2025-12-19 15:27:09.507271
TL213,구의,213,구의,2호선,2025-12-19 15:27:09.507614
TL214A,강변1~21,214,강변,2호선,2025-12-19 15:27:09.507941
TL214B,강변22~59,214,강변,2호선,2025-12-19 15:27:09.508262
TL215,잠실나루,215,잠실나루,2호선,2025-12-19 15:27:09.508583
TL216A,잠실1~47,216,잠실,2호선,2025-12-19 15:27:09.508906
TL216B,잠실48~73,216,잠실,2호선,2025-12-19 15:27:09.509267
TL216C,잠실74~95,216,잠실,2호선,2025-12-19 15:27:09.509593
TL216D,잠실96~108,216,잠실,2호선,2025-12-19 15:27:09.509915
TL217,잠실새내,217,잠실새내,2호선,2025-12-19 15:27:09.510402
TL219A,삼성1~30,219,삼성,2호선,2025-12-19 15:27:09.511626
TL219B,삼성31~47,219,삼성,2호선,2025-12-19 15:27:09.511949
TL219C,삼성48~64,219,삼성,2호선,2025-12-19 15:27:09.512274
TL220A,선릉1~17,220,선릉,2호선,2025-12-19 15:27:09.51261
TL220B,선릉18~34,220,선릉,2호선,2025-12-19 15:27:09.512936
TL221,역삼,221,역삼,2호선,2025-12-19 15:27:09.513314
TL222A,강남1~52,222,강남,2호선,2025-12-19 15:27:09.513658
TL222B,강남53~78,222,강남,2호선,2025-12-19 15:27:09.513989
TL223A,교대1~22,223,교대,2호선,2025-12-19 15:27:09.514316
TL224,서초,224,서초,2호선,2025-12-19 15:27:09.514641
TL225,방배,225,방배,2호선,2025-12-19 15:27:09.514961
TL226A,사당1~26,226,사당,2호선,2025-12-19 15:27:09.515282
TL227,낙성대,227,낙성대,2호선,2025-12-19 15:27:09.515605
TL228,서울대입구,228,서울대입구,2호선,2025-12-19 15:27:09.515929
TL229,봉천,229,봉천,2호선,2025-12-19 15:27:09.516251
TL230A,신림1~21,230,신림,2호선,2025-12-19 15:27:09.51657
TL230B,신림22~50,230,신림,2호선,2025-12-19 15:27:09.516894
TL231,신대방,231,신대방,2호선,2025-12-19 15:27:09.517212
TL232,구로디지탈단지,232,구로디지털단지,2호선,2025-12-19 15:27:09.517532
TL233A,대림1~17,233,대림,2호선,2025-12-19 15:27:09.517851
TL234A,신도림1~32,234,신도림,2호선,2025-12-19 15:27:09.518171
TL234B,신도림33~53,234,신도림,2호선,2025-12-19 15:27:09.518489
TL234C,신도림54~79,234,신도림,2호선,2025-12-19 15:27:09.518807
TL2341,도림천,234-1,도림천,2호선,2025-12-19 15:27:09.519125
TL2342,양천구청,234-2,양천구청,2호선,2025-12-19 15:27:09.519445
TL2343,신정네거리,234-3,신정네거리,2호선,2025-12-19 15:27:09.519764
TL235,문래,235,문래,2호선,2025-12-19 15:27:09.520087
TL236A,영등포구청1~13,236,영등포구청,2호선,2025-12-19 15:27:09.520407
TL237,당산,237,당산,2호선,2025-12-19 15:27:09.52073
TL238A,합정1~25,238,합정,2호선,2025-12-19 15:27:09.521066
TL239A,홍대입구1~33,239,홍대입구,2호선,2025-12-19 15:27:09.521388
TL239B,홍대입구34~65,239,홍대입구,2호선,2025-12-19 15:27:09.521707
TL239C,홍대입구66~113,239,홍대입구,2호선,2025-12-19 15:27:09.522027
TL239D,홍대입구114~143,239,홍대입구,2호선,2025-12-19 15:27:09.522344
TL239E,홍대입구144~171,239,홍대입구,2호선,2025-12-19 15:27:09.522665
TL240A,신촌1~22,240,신촌,2호선,2025-12-19 15:27:09.522981
TL240B,신촌23~49,240,신촌,2호선,2025-12-19 15:27:09.5233
TL240C,신촌50~71,240,신촌,2호선,2025-12-19 15:27:09.523615
TL241,이대,241,이대,2호선,2025-12-19 15:27:09.523932
TL242,아현,242,아현,2호선,2025-12-19 15:27:09.524248
TL243A,충정로1~15,243,충정로,2호선,2025-12-19 15:27:09.524566
TL320,구파발,320,구파발,3호선,2025-12-19 15:27:09.524897
TL321,연신내,321,연신내,3호선,2025-12-19 15:27:09.525219
TL322A,불광1~9,322,불광,3호선,2025-12-19 15:27:09.525543
TL323,녹번,323,녹번,3호선,2025-12-19 15:27:09.525861
TL324A,홍제1~9,324,홍제,3호선,2025-12-19 15:27:09.526179
TL324B,홍제10~18,324,홍제,3호선,2025-12-19 15:27:09.526501
TL325,무악재,325,무악재,3호선,2025-12-19 15:27:09.526841
TL326,독립문,326,독립문,3호선,2025-12-19 15:27:09.527182
TL327A,경복궁1~29,327,경복궁,3호선,2025-12-19 15:27:09.527504
TL327B,경복궁30~51,327,경복궁,3호선,2025-12-19 15:27:09.527823
TL327C,경복궁52~76,327,경복궁,3호선,2025-12-19 15:27:09.528142
TL130C,종로3가35~51,329,종로3가,3호선,2025-12-19 15:27:09.52846
TL203B,을지로3가27~39,330,을지로3가,3호선,2025-12-19 15:27:09.529468
TL332,동대입구,332,동대입구,3호선,2025-12-19 15:27:09.530005
TL333A,약수1~9,333,약수,3호선,2025-12-19 15:27:09.530405
TL334,금호,334,금호,3호선,2025-12-19 15:27:09.530999
TL335,옥수,335,옥수,3호선,2025-12-19 15:27:09.531483
TL336A,압구정1~26,336,압구정,3호선,2025-12-19 15:27:09.532028
TL336B,압구정27~43,336,압구정,3호선,2025-12-19 15:27:09.532384
TL337A,신사1~45,337,신사,3호선,2025-12-19 15:27:09.532727
TL337B,신사46~68,337,신사,3호선,2025-12-19 15:27:09.533067
TL338,잠원,338,잠원,3호선,2025-12-19 15:27:09.5334
TL339A,고속터미널1~17,339,고속터미널,3호선,2025-12-19 15:27:09.533737
TL339B,고속터미널18~72,339,고속터미널,3호선,2025-12-19 15:27:09.534073
TL223B,교대23~35,340,교대,3호선,2025-12-19 15:27:09.534407
TL341,남부터미널,341,남부터미널,3호선,2025-12-19 15:27:09.534742
TL342A,양재1~13,342,양재,3호선,2025-12-19 15:27:09.535075
TL342B,양재14~26,342,양재,3호선,2025-12-19 15:27:09.535405
TL343,매봉,343,매봉,3호선,2025-12-19 15:27:09.535725
TL344,도곡,344,도곡,3호선,2025-12-19 15:27:09.536045
TL345,대치,345,대치,3호선,2025-12-19 15:27:09.536363
TL346,학여울,346,학여울,3호선,2025-12-19 15:27:09.536683
TL347,대청,347,대청,3호선,2025-12-19 15:27:09.537003
TL348,일원,348,일원,3호선,2025-12-19 15:27:09.537327
TL349,수서,349,수서,3호선,2025-12-19 15:27:09.537644
TL350A,가락시장1~13,350,가락시장,3호선,2025-12-19 15:27:09.537967
TL351,경찰병원,351,경찰병원,3호선,2025-12-19 15:27:09.538289
TL352,오금,352,오금,3호선,2025-12-19 15:27:09.53861
TL409,불암산,409,불암산,4호선,2025-12-19 15:27:09.538935
TL410,상계,410,상계,4호선,2025-12-19 15:27:09.539268
