station_id,station_name,line_name,elevator,wheelchairlift,parking,complaint,exchange,trainreservation,culturalspace,meeting,lactation,created_at
124,청량리,1호선,Y,Y,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
125,제기동,1호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
126,신설동,1호선,Y,Y,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
127,동묘앞,1호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
128,동대문,1호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
129,종로5가,1호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
130,종로3가,1호선,Y,N,N,N,N,N,Y,N,Y,2026-01-23 10:21:56.202589
131,종각,1호선,Y,N,N,Y,N,N,N,N,N,2026-01-23 10:21:56.202589
132,시청,1호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
133,서울역,1호선,Y,Y,N,N,N,Y,N,Y,N,2026-01-23 10:21:56.202589
201,시청,2호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
202,을지로입구,2호선,Y,N,N,Y,Y,N,N,N,N,2026-01-23 10:21:56.202589
203,을지로3가,2호선,Y,N,N,N,Y,N,N,N,N,2026-01-23 10:21:56.202589
204,을지로4가,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
205,동대문역사문화공원,2호선,Y,N,N,N,Y,N,N,N,N,2026-01-23 10:21:56.202589
206,신당,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
207,상왕십리,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
208,왕십리,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
209,한양대,2호선,Y,Y,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
210,뚝섬,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
211,성수,2호선,Y,N,N,Y,N,N,Y,Y,Y,2026-01-23 10:21:56.202589
211-1,용답,2호선,Y,Y,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
211-2,신답,2호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
211-3,용두,2호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
211-4,신설동,2호선,Y,Y,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
212,건대입구,2호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
213,구의,2호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
214,강변,2호선,Y,N,N,N,N,N,N,N,Y,2026-01-23 10:21:56.202589
215,잠실나루,2호선,Y,N,Y,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
216,잠실,2호선,Y,Y,N,N,Y,Y,N,N,Y,2026-01-23 10:21:56.202589
217,잠실새내,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
219,삼성,2호선,Y,Y,N,Y,Y,N,N,N,Y,2026-01-23 10:21:56.202589
220,선릉,2호선,Y,N,N,Y,Y,N,Y,N,N,2026-01-23 10:21:56.202589
221,역삼,2호선,Y,N,N,Y,Y,N,N,Y,N,2026-01-23 10:21:56.202589
222,강남,2호선,Y,N,N,Y,Y,N,N,N,Y,2026-01-23 10:21:56.202589
223,교대,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
224,서초,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
225,방배,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
226,사당,2호선,Y,N,Y,N,N,N,Y,Y,N,2026-01-23 10:21:56.202589
227,낙성대,2호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
228,서울대입구,2호선,Y,N,N,Y,N,N,Y,Y,N,2026-01-23 10:21:56.202589
229,봉천,2호선,Y,N,N,Y,N,N,N,N,N,2026-01-23 10:21:56.202589
230,신림,2호선,Y,N,Y,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
231,신대방,2호선,Y,N,Y,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
232,구로디지털단지,2호선,Y,N,Y,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
233,대림,2호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
234,신도림,2호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
234-1,도림천,2호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
234-2,양천구청,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
234-3,신정네거리,2호선,Y,Y,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
235,문래,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
236,영등포구청,2호선,Y,N,Y,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
237,당산,2호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
238,합정,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
239,홍대입구,2호선,Y,N,N,N,Y,Y,N,Y,N,2026-01-23 10:21:56.202589
240,신촌,2호선,Y,N,N,Y,Y,N,N,Y,Y,2026-01-23 10:21:56.202589
241,이대,2호선,Y,N,N,N,Y,N,N,N,N,2026-01-23 10:21:56.202589
242,아현,2호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
243,충정로,2호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
320,구파발,3호선,Y,N,Y,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
321,연신내,3호선,Y,N,N,Y,N,N,N,N,N,2026-01-23 10:21:56.202589
322,불광,3호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
323,녹번,3호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
324,홍제,3호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
325,무악재,3호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
326,독립문,3호선,Y,N,N,N,N,N,N,N,Y,2026-01-23 10:21:56.202589
327,경복궁,3호선,Y,N,N,Y,Y,N,Y,Y,N,2026-01-23 10:21:56.202589
329,종로3가,3호선,Y,N,N,N,N,N,Y,N,Y,2026-01-23 10:21:56.202589
330,을지로3가,3호선,Y,N,N,N,Y,N,N,N,N,2026-01-23 10:21:56.202589
332,동대입구,3호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
333,약수,3호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
334,금호,3호선,Y,N,N,Y,N,N,Y,N,N,2026-01-23 10:21:56.202589
335,옥수,3호선,Y,N,N,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
336,압구정,3호선,Y,N,N,Y,Y,N,N,Y,N,2026-01-23 10:21:56.202589
337,신사,3호선,Y,N,N,Y,Y,N,N,Y,N,2026-01-23 10:21:56.202589
338,잠원,3호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
339,고속터미널,3호선,Y,Y,N,N,Y,N,N,N,Y,2026-01-23 10:21:56.202589
340,교대,3호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
341,남부터미널,3호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
342,양재,3호선,Y,N,N,N,N,N,N,N,Y,2026-01-23 10:21:56.202589
343,매봉,3호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
344,도곡,3호선,N,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
345,대치,3호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
346,학여울,3호선,Y,N,Y,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
347,대청,3호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
348,일원,3호선,Y,N,Y,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
349,수서,3호선,Y,N,Y,N,N,Y,Y,Y,N,2026-01-23 10:21:56.202589
350,가락시장,3호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
351,경찰병원,3호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
352,오금,3호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
409,불암산,4호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
410,상계,4호선,Y,Y,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
411,노원,4호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
412,창동,4호선,Y,Y,Y,Y,N,N,N,N,N,2026-01-23 10:21:56.202589
413,쌍문,4호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
414,수유,4호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
415,미아,4호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
416,미아사거리,4호선,Y,N,N,Y,N,N,Y,Y,Y,2026-01-23 10:21:56.202589
417,길음,4호선,Y,N,N,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
418,성신여대입구,4호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
419,한성대입구,4호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
420,혜화,4호선,Y,N,N,Y,N,N,Y,Y,N,2026-01-23 10:21:56.202589
421,동대문,4호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
422,동대문역사문화공원,4호선,Y,N,N,N,Y,N,N,N,N,2026-01-23 10:21:56.202589
423,충무로,4호선,N,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
424,명동,4호선,Y,N,N,N,Y,Y,N,N,N,2026-01-23 10:21:56.202589
425,회현,4호선,Y,N,N,N,Y,N,N,N,N,2026-01-23 10:21:56.202589
426,서울역,4호선,Y,Y,N,N,N,Y,N,Y,N,2026-01-23 10:21:56.202589
427,숙대입구,4호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
428,삼각지,4호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
429,신용산,4호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
430,이촌,4호선,Y,N,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
431,동작,4호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
432,총신대입구,4호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
433,사당,4호선,Y,N,Y,N,N,N,Y,Y,N,2026-01-23 10:21:56.202589
434,남태령,4호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
510,방화,5호선,Y,N,Y,N,N,N,N,N,N,2026-01-23 10:21:56.202589
511,개화산,5호선,Y,N,Y,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
512,김포공항,5호선,Y,N,N,N,Y,Y,N,N,Y,2026-01-23 10:21:56.202589
513,송정,5호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
514,마곡,5호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
515,발산,5호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
516,우장산,5호선,Y,N,N,N,N,N,N,N,Y,2026-01-23 10:21:56.202589
517,화곡,5호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
518,까치산,5호선,N,N,N,N,N,N,N,N,Y,2026-01-23 10:21:56.202589
519,신정,5호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
520,목동,5호선,Y,N,N,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
521,오목교,5호선,Y,N,N,Y,N,N,Y,N,N,2026-01-23 10:21:56.202589
522,양평,5호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
523,영등포구청,5호선,Y,N,Y,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
524,영등포시장,5호선,Y,N,N,N,N,N,Y,N,N,2026-01-23 10:21:56.202589
525,신길,5호선,Y,N,Y,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
526,여의도,5호선,Y,N,N,Y,Y,N,N,Y,Y,2026-01-23 10:21:56.202589
527,여의나루,5호선,Y,N,N,N,N,N,N,N,Y,2026-01-23 10:21:56.202589
528,마포,5호선,Y,N,Y,N,N,N,N,N,N,2026-01-23 10:21:56.202589
529,공덕,5호선,Y,N,N,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
530,애오개,5호선,Y,N,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
531,충정로,5호선,Y,N,N,Y,N,N,N,Y,N,2026-01-23 10:21:56.202589
532,서대문,5호선,Y,Y,N,N,N,N,N,N,N,2026-01-23 10:21:56.202589
533,광화문,5호선,Y,N,N,N,Y,N,Y,Y,Y,2026-01-23 10:21:56.202589
534,종로3가,5호선,Y,N,N,N,N,N,Y,N,Y,2026-01-23 10:21:56.202589
535,을지로4가,5호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
536,동대문역사문화공원,5호선,Y,N,N,N,Y,N,N,N,N,2026-01-23 10:21:56.202589
537,청구,5호선,Y,N,N,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
538,신금호,5호선,Y,N,N,N,N,N,Y,Y,N,2026-01-23 10:21:56.202589
539,행당,5호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
540,왕십리,5호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
541,마장,5호선,Y,N,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
542,답십리,5호선,Y,Y,N,N,N,N,N,Y,Y,2026-01-23 10:21:56.202589
543,장한평,5호선,Y,Y,N,N,N,N,N,Y,N,2026-01-23 10:21:56.202589
544,군자,5호선,Y,N,N,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
545,아차산,5호선,Y,N,N,Y,N,N,N,Y,Y,2026-01-23 10:21:56.202589
