inventory_id,line_name,local_id,local_name,local_small,local_middle,local_large,created_at
15,1,TL124,청량리,12,2,3,2025-12-19 17:05:01.546534
14,1,TL125,제기동,6,2,1,2025-12-19 17:05:01.546534
13,1,TL126A,신설동1~9,6,2,1,2025-12-19 17:05:01.546534
16,1,TL127A,동묘앞1~9,6,2,1,2025-12-19 17:05:01.546534
12,1,TL128A,동대문1~25,18,2,5,2025-12-19 17:05:01.546534
10,1,TL129A,종로5가1~19,12,2,5,2025-12-19 17:05:01.546534
11,1,TL129B,종로5가20~32,9,2,2,2025-12-19 17:05:01.546534
8,1,TL130A,종로3가1~25,18,2,5,2025-12-19 17:05:01.546534
9,1,TL130B,종로3가26~34,6,2,1,2025-12-19 17:05:01.546534
6,1,TL131A,종각1~25,18,2,5,2025-12-19 17:05:01.546534
7,1,TL131B,종각26~50,18,2,5,2025-12-19 17:05:01.546534
4,1,TL132B,시청29~44,18,4,6,2025-12-19 17:05:01.546534
1,1,TL133A,서울역1~22,12,4,6,2025-12-19 17:05:01.546534
2,1,TL133B,서울역23~44,12,4,6,2025-12-19 17:05:01.546534
3,1,TL133C,서울역45~64,12,4,4,2025-12-19 17:05:01.546534
17,2,TL132C,시청45~69,18,2,5,2025-12-19 17:05:01.546534
18,2,TL202A,을지로입구1~25,18,2,5,2025-12-19 17:05:01.546534
19,2,TL202B,을지로입구26~50,18,2,5,2025-12-19 17:05:01.546534
20,2,TL203A,을지로3가1~26,18,4,4,2025-12-19 17:05:01.546534
21,2,TL204A,을지로4가1~13,6,2,5,2025-12-19 17:05:01.546534
22,2,TL205A,동대문역사문화공원1~36,24,4,8,2025-12-19 17:05:01.546534
23,2,TL205B,동대문역사문화공원37~60,15,4,5,2025-12-19 17:05:01.546534
24,2,TL206A,신당1~13,9,2,2,2025-12-19 17:05:01.546534
25,2,TL207,상왕십리,6,2,1,2025-12-19 17:05:01.546534
27,2,TL209,한양대,6,2,1,2025-12-19 17:05:01.546534
83,2,TL2111,용답,6,2,1,2025-12-19 17:05:01.546534
84,2,TL2112,신답,6,2,1,2025-12-19 17:05:01.546534
89,2,TL2113,용두,6,2,1,2025-12-19 17:05:01.546534
85,2,TL126B,신설동10~18,6,2,1,2025-12-19 17:05:01.546534
31,2,TL212A,건대입구1~22,15,4,3,2025-12-19 17:05:01.546534
32,2,TL212B,건대입구23~44,15,4,3,2025-12-19 17:05:01.546534
33,2,TL212C,건대입구45~66,15,4,3,2025-12-19 17:05:01.546534
34,2,TL213,구의,9,2,2,2025-12-19 17:05:01.546534
35,2,TL214A,강변1~21,15,2,4,2025-12-19 17:05:01.546534
36,2,TL214B,강변22~59,27,4,7,2025-12-19 17:05:01.546534
37,2,TL215,잠실나루,9,2,2,2025-12-19 17:05:01.546534
38,2,TL216A,잠실1~47,33,6,8,2025-12-19 17:05:01.546534
39,2,TL216B,잠실48~73,18,4,4,2025-12-19 17:05:01.546534
40,2,TL216C,잠실74~95,15,4,3,2025-12-19 17:05:01.546534
41,2,TL216D,잠실96~108,9,2,2,2025-12-19 17:05:01.546534
42,2,TL217,잠실새내,15,2,4,2025-12-19 17:05:01.546534
45,2,TL219A,삼성1~30,21,4,5,2025-12-19 17:05:01.546534
46,2,TL219B,삼성31~47,12,2,3,2025-12-19 17:05:01.546534
47,2,TL219C,삼성48~64,12,2,3,2025-12-19 17:05:01.546534
