station_id,station_name,line_name,elevator,wheelchairlift,parking,complaint,exchange,trainreservation,culturalspace,meeting,lactation
124,청량리,1호선,Y,Y,N,N,N,N,N,N,N
125,제기동,1호선,Y,N,N,N,N,N,N,N,N
126,신설동,1호선,Y,Y,N,N,N,N,N,N,N
127,동묘앞,1호선,Y,N,N,N,N,N,N,N,N
128,동대문,1호선,Y,N,N,N,N,N,N,Y,Y
129,종로5가,1호선,Y,N,N,N,N,N,N,N,N
130,종로3가,1호선,Y,N,N,N,N,N,Y,N,Y
131,종각,1호선,Y,N,N,Y,N,N,N,N,N
132,시청,1호선,Y,N,N,N,N,N,N,Y,Y
133,서울역,1호선,Y,Y,N,N,N,Y,N,Y,N
201,시청,2호선,Y,N,N,N,N,N,N,Y,Y
202,을지로입구,2호선,Y,N,N,Y,Y,N,N,N,N
203,을지로3가,2호선,Y,N,N,N,Y,N,N,N,N
204,을지로4가,2호선,Y,N,N,N,N,N,N,Y,N
205,동대문역사문화공원,2호선,Y,N,N,N,Y,N,N,N,N
206,신당,2호선,Y,N,N,N,N,N,N,Y,N
207,상왕십리,2호선,Y,N,N,N,N,N,N,Y,N
208,왕십리,2호선,Y,N,N,N,N,N,N,Y,N
209,한양대,2호선,Y,Y,N,N,N,N,N,Y,N
210,뚝섬,2호선,Y,N,N,N,N,N,N,Y,N
211,성수,2호선,Y,N,N,Y,N,N,Y,Y,Y
211-1,용답,2호선,Y,Y,N,N,N,N,N,N,N
211-2,신답,2호선,Y,N,N,N,N,N,N,N,N
211-3,용두,2호선,Y,N,N,N,N,N,N,N,N
211-4,신설동,2호선,Y,Y,N,N,N,N,N,N,N
212,건대입구,2호선,Y,N,N,Y,N,N,N,Y,N
213,구의,2호선,Y,N,N,Y,N,N,N,Y,N
214,강변,2호선,Y,N,N,N,N,N,N,N,Y
215,잠실나루,2호선,Y,N,Y,N,N,N,N,Y,N
216,잠실,2호선,Y,Y,N,N,Y,Y,N,N,Y
217,잠실새내,2호선,Y,N,N,N,N,N,N,Y,N
219,삼성,2호선,Y,Y,N,Y,Y,N,N,N,Y
220,선릉,2호선,Y,N,N,Y,Y,N,Y,N,N
221,역삼,2호선,Y,N,N,Y,Y,N,N,Y,N
222,강남,2호선,Y,N,N,Y,Y,N,N,N,Y
223,교대,2호선,Y,N,N,N,N,N,N,Y,N
224,서초,2호선,Y,N,N,N,N,N,N,Y,N
225,방배,2호선,Y,N,N,N,N,N,N,Y,N
226,사당,2호선,Y,N,Y,N,N,N,Y,Y,N
227,낙성대,2호선,Y,N,N,Y,N,N,N,Y,N
228,서울대입구,2호선,Y,N,N,Y,N,N,Y,Y,N
229,봉천,2호선,Y,N,N,Y,N,N,N,N,N
230,신림,2호선,Y,N,Y,Y,N,N,N,Y,Y
231,신대방,2호선,Y,N,Y,N,N,N,N,Y,N
232,구로디지털단지,2호선,Y,N,Y,Y,N,N,N,Y,N
233,대림,2호선,Y,N,N,N,N,N,N,Y,Y
234,신도림,2호선,Y,N,N,N,N,N,N,N,N
234-1,도림천,2호선,Y,N,N,N,N,N,N,N,N
234-2,양천구청,2호선,Y,N,N,N,N,N,N,Y,N
234-3,신정네거리,2호선,Y,Y,N,N,N,N,N,Y,N
235,문래,2호선,Y,N,N,N,N,N,N,Y,N
236,영등포구청,2호선,Y,N,Y,N,N,N,N,Y,Y
237,당산,2호선,Y,N,N,Y,N,N,N,Y,N
238,합정,2호선,Y,N,N,N,N,N,N,Y,N
239,홍대입구,2호선,Y,N,N,N,Y,Y,N,Y,N
240,신촌,2호선,Y,N,N,Y,Y,N,N,Y,Y
241,이대,2호선,Y,N,N,N,Y,N,N,N,N
242,아현,2호선,Y,N,N,N,N,N,N,Y,N
243,충정로,2호선,Y,N,N,Y,N,N,N,Y,N
320,구파발,3호선,Y,N,Y,Y,N,N,N,Y,Y
321,연신내,3호선,Y,N,N,Y,N,N,N,N,N
322,불광,3호선,Y,N,N,Y,N,N,N,Y,N
323,녹번,3호선,Y,N,N,N,N,N,N,N,N
324,홍제,3호선,Y,N,N,Y,N,N,N,Y,N
325,무악재,3호선,Y,N,N,N,N,N,N,Y,N
326,독립문,3호선,Y,N,N,N,N,N,N,N,Y
327,경복궁,3호선,Y,N,N,Y,Y,N,Y,Y,N
329,종로3가,3호선,Y,N,N,N,N,N,Y,N,Y
330,을지로3가,3호선,Y,N,N,N,Y,N,N,N,N
332,동대입구,3호선,Y,N,N,N,N,N,N,Y,N
333,약수,3호선,Y,N,N,Y,N,N,N,Y,N
334,금호,3호선,Y,N,N,Y,N,N,Y,N,N
335,옥수,3호선,Y,N,N,Y,N,N,N,Y,Y
336,압구정,3호선,Y,N,N,Y,Y,N,N,Y,N
337,신사,3호선,Y,N,N,Y,Y,N,N,Y,N
338,잠원,3호선,Y,N,N,N,N,N,N,Y,N
339,고속터미널,3호선,Y,Y,N,N,Y,N,N,N,Y
340,교대,3호선,Y,N,N,N,N,N,N,Y,N
341,남부터미널,3호선,Y,N,N,N,N,N,N,Y,N
342,양재,3호선,Y,N,N,N,N,N,N,N,Y
343,매봉,3호선,Y,N,N,N,N,N,N,N,N
344,도곡,3호선,N,N,N,N,N,N,N,Y,Y
345,대치,3호선,Y,N,N,N,N,N,N,N,N
346,학여울,3호선,Y,N,Y,N,N,N,N,Y,N
347,대청,3호선,Y,N,N,N,N,N,N,Y,N
348,일원,3호선,Y,N,Y,N,N,N,N,Y,N
349,수서,3호선,Y,N,Y,N,N,Y,Y,Y,N
350,가락시장,3호선,Y,N,N,N,N,N,N,N,N
351,경찰병원,3호선,Y,N,N,N,N,N,N,N,N
352,오금,3호선,Y,N,N,N,N,N,N,N,N
409,불암산,4호선,Y,N,N,N,N,N,N,N,N
410,상계,4호선,Y,Y,N,N,N,N,N,Y,N
411,노원,4호선,Y,N,N,N,N,N,N,Y,Y
412,창동,4호선,Y,Y,Y,Y,N,N,N,N,N
413,쌍문,4호선,Y,N,N,Y,N,N,N,Y,N
414,수유,4호선,Y,N,N,Y,N,N,N,Y,N
415,미아,4호선,Y,N,N,Y,N,N,N,Y,N
416,미아사거리,4호선,Y,N,N,Y,N,N,Y,Y,Y
417,길음,4호선,Y,N,N,Y,N,N,N,Y,Y
418,성신여대입구,4호선,Y,N,N,N,N,N,N,N,N
419,한성대입구,4호선,Y,N,N,Y,N,N,N,Y,N
420,혜화,4호선,Y,N,N,Y,N,N,Y,Y,N
421,동대문,4호선,Y,N,N,N,N,N,N,Y,Y
422,동대문역사문화공원,4호선,Y,N,N,N,Y,N,N,N,N
423,충무로,4호선,N,N,N,N,N,N,N,N,N
424,명동,4호선,Y,N,N,N,Y,Y,N,N,N
425,회현,4호선,Y,N,N,N,Y,N,N,N,N
426,서울역,4호선,Y,Y,N,N,N,Y,N,Y,N
427,숙대입구,4호선,Y,N,N,N,N,N,N,Y,N
428,삼각지,4호선,Y,N,N,N,N,N,N,Y,N
429,신용산,4호선,Y,N,N,N,N,N,N,Y,N
430,이촌,4호선,Y,N,N,N,N,N,N,Y,Y
431,동작,4호선,Y,N,N,N,N,N,N,Y,N
432,총신대입구,4호선,Y,N,N,N,N,N,N,Y,N
433,사당,4호선,Y,N,Y,N,N,N,Y,Y,N
434,남태령,4호선,Y,N,N,N,N,N,N,N,N
510,방화,5호선,Y,N,Y,N,N,N,N,N,N
511,개화산,5호선,Y,N,Y,N,N,N,N,Y,N
512,김포공항,5호선,Y,N,N,N,Y,Y,N,N,Y
513,송정,5호선,Y,N,N,N,N,N,N,Y,N
514,마곡,5호선,Y,N,N,N,N,N,N,N,N
515,발산,5호선,Y,N,N,N,N,N,N,Y,N
516,우장산,5호선,Y,N,N,N,N,N,N,N,Y
517,화곡,5호선,Y,N,N,Y,N,N,N,Y,N
518,까치산,5호선,N,N,N,N,N,N,N,N,Y
519,신정,5호선,Y,N,N,Y,N,N,N,Y,N
520,목동,5호선,Y,N,N,Y,N,N,N,Y,Y
521,오목교,5호선,Y,N,N,Y,N,N,Y,N,N
522,양평,5호선,Y,N,N,N,N,N,N,N,N
523,영등포구청,5호선,Y,N,Y,N,N,N,N,Y,Y
524,영등포시장,5호선,Y,N,N,N,N,N,Y,N,N
525,신길,5호선,Y,N,Y,N,N,N,N,Y,Y
526,여의도,5호선,Y,N,N,Y,Y,N,N,Y,Y
527,여의나루,5호선,Y,N,N,N,N,N,N,N,Y
528,마포,5호선,Y,N,Y,N,N,N,N,N,N
529,공덕,5호선,Y,N,N,Y,N,N,N,Y,Y
530,애오개,5호선,Y,N,N,N,N,N,N,N,N
531,충정로,5호선,Y,N,N,Y,N,N,N,Y,N
532,서대문,5호선,Y,Y,N,N,N,N,N,N,N
533,광화문,5호선,Y,N,N,N,Y,N,Y,Y,Y
534,종로3가,5호선,Y,N,N,N,N,N,Y,N,Y
535,을지로4가,5호선,Y,N,N,N,N,N,N,Y,N
536,동대문역사문화공원,5호선,Y,N,N,N,Y,N,N,N,N
537,청구,5호선,Y,N,N,Y,N,N,N,Y,Y
538,신금호,5호선,Y,N,N,N,N,N,Y,Y,N
539,행당,5호선,Y,N,N,N,N,N,N,Y,N
540,왕십리,5호선,Y,N,N,N,N,N,N,Y,N
541,마장,5호선,Y,N,N,N,N,N,N,Y,N
542,답십리,5호선,Y,Y,N,N,N,N,N,Y,Y
543,장한평,5호선,Y,Y,N,N,N,N,N,Y,N
544,군자,5호선,Y,N,N,Y,N,N,N,Y,Y
545,아차산,5호선,Y,N,N,Y,N,N,N,Y,Y
546,광나루,5호선,Y,Y,N,Y,N,N,N,Y,N
547,천호,5호선,Y,N,Y,Y,N,N,N,Y,Y
548,강동,5호선,Y,Y,Y,N,N,N,N,Y,Y
549,길동,5호선,Y,N,N,Y,N,N,N,Y,N
550,굽은다리,5호선,Y,N,N,Y,N,N,N,Y,N
551,명일,5호선,Y,N,N,Y,N,N,N,Y,N
552,고덕,5호선,Y,N,Y,Y,N,N,Y,Y,Y
553,상일동,5호선,Y,Y,N,Y,N,N,N,Y,N
P549,둔촌동,5호선,Y,N,N,Y,N,N,N,Y,N
P551,방이,5호선,Y,N,N,N,N,N,N,Y,N
P553,개롱,5호선,Y,N,N,N,N,N,N,N,N
P554,거여,5호선,Y,N,N,N,N,N,N,Y,Y
P555,마천,5호선,Y,N,N,N,N,N,N,Y,N
610,응암,6호선,Y,N,N,Y,N,N,N,Y,Y
611,역촌,6호선,Y,N,N,N,N,N,N,Y,N
612,불광,6호선,Y,N,N,Y,N,N,N,Y,N
613,독바위,6호선,Y,N,N,N,N,N,N,N,N
615,구산,6호선,Y,Y,N,Y,N,N,N,N,N
616,새절,6호선,Y,Y,N,N,N,N,N,Y,N
617,증산,6호선,Y,N,N,N,N,N,N,Y,N
618,디지털미디어시티,6호선,Y,Y,N,N,N,N,N,Y,N
619,월드컵경기장,6호선,Y,N,N,N,N,N,Y,Y,Y
620,마포구청,6호선,Y,Y,N,N,N,N,N,Y,N
621,망원,6호선,Y,N,N,N,N,N,N,Y,N
622,합정,6호선,Y,N,N,N,N,N,N,Y,N
623,상수,6호선,Y,N,N,N,N,N,N,N,N
624,광흥창,6호선,Y,Y,N,N,N,N,N,Y,N
625,대흥,6호선,Y,Y,N,N,N,N,Y,Y,Y
626,공덕,6호선,Y,N,N,Y,N,N,N,Y,Y
627,효창공원앞,6호선,N,N,N,N,N,N,N,N,N
628,삼각지,6호선,Y,N,N,N,N,N,N,Y,N
629,녹사평,6호선,Y,N,N,N,N,N,Y,Y,N
630,이태원,6호선,Y,N,N,N,Y,N,N,N,Y
632,버티고개,6호선,Y,N,N,Y,N,N,N,Y,N
633,약수,6호선,Y,N,N,Y,N,N,N,Y,N
635,신당,6호선,Y,N,N,N,N,N,N,Y,N
636,동묘앞,6호선,Y,N,N,N,N,N,N,N,N
637,창신,6호선,Y,N,N,N,N,N,N,Y,N
